Animal ID,Name,Intake Date,Intake Time,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A686315,*Smoosh,08/20/2014,8:57AM,12034 Research Blvd. in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever/Pit Bull,White/Tan
A659896,Opie,08/20/2014,10:12AM,5629 Victory Gallop in Del Valle (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Boxer Mix,Brown Brindle/White
A686316,Fin,08/20/2014,10:20AM,Rio Grande Street & 5Th Street in Austin (TX),Public Assist,Normal,Dog,Neutered Male,7 years,Pomeranian Mix,White/Brown
A686319,Jack,08/20/2014,10:38AM,2805 Catalina Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,American Pit Bull Terrier Mix,Brown Brindle
A686320,*Lacey,08/20/2014,10:38AM,2805 Catalina Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever/Catahoula,Buff/White
A686321,,08/20/2014,11:19AM,3801 Berkman Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A686324,,08/20/2014,11:19AM,3801 Berkman Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White/Black
A686325,,08/20/2014,11:19AM,3801 Berkman Dr in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White/Black
A686326,,08/20/2014,11:19AM,3801 Berkman Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,White/Black
A686327,,08/20/2014,11:19AM,3801 Berkman Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A686328,,08/20/2014,11:19AM,3801 Berkman Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A686329,,08/20/2014,11:19AM,3801 Berkman Dr in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A686137,Barbara,08/20/2014,11:23AM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black
A647491,Loverboy,08/20/2014,11:35AM,East 12Th & Chestnut in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Lhasa Apso Mix,Black/White
A681285,*Hops,08/20/2014,11:48AM,4912 W Francis Place in Austin (TX),Stray,Normal,Dog,Neutered Male,4 months,Australian Cattle Dog/Labrador Retriever,White/Brown
A686323,Hope,08/20/2014,12:03PM,400 Grove Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,5 months,Catahoula Mix,Chocolate/White
A683114,French Fry,08/20/2014,12:08PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White/Orange Tabby
A686330,,08/20/2014,12:33PM,3002 Ellon in Del Valle (TX),Stray,Normal,Cat,Unknown,5 months,Domestic Shorthair Mix,Orange Tabby/White
