Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A684676,Reilly,07/28/2014,12:12PM,Return to Owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Yellow
A684671,Holly,07/28/2014,1:34PM,Return to Owner,,Dog,Intact Female,3 years,Pit Bull Mix,Brown
A680624,Axle,07/28/2014,1:56PM,Adoption,,Dog,Neutered Male,12 years,American Eskimo Mix,White/Red
A679523,Beans,07/28/2014,2:39PM,Transfer,Partner,Cat,Unknown,1 year,Domestic Medium Hair Mix,Blue/White
A684651,Valencia,07/28/2014,2:40PM,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby/White
A684652,Satusma,07/28/2014,2:41PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A684654,Minneloa,07/28/2014,2:42PM,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A679486,*Bernice,07/28/2014,2:58PM,Euthanasia,Suffering,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Torbie
A684156,Charlie,07/28/2014,3:27PM,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Orange Tabby/White
A684598,Teddy,07/28/2014,4:07PM,Return to Owner,,Dog,Neutered Male,9 years,Labrador Retriever/Basset Hound,Tan/White
A684649,Apollo,07/28/2014,4:30PM,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A684655,Artemis,07/28/2014,4:32PM,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,White/Orange Tabby
A682540,Rumor,07/28/2014,4:41PM,Adoption,,Dog,Neutered Male,2 years,Great Pyrenees/Rottweiler,Red
A684506,*Judy,07/28/2014,4:56PM,Transfer,Partner,Dog,Spayed Female,1 year,Pug Mix,Tan
A684465,*Snoopette,07/28/2014,5:10PM,Adoption,,Dog,Spayed Female,2 months,Beagle Mix,Black/Tricolor
A684689,,07/28/2014,5:21PM,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Calico
A684690,,07/28/2014,5:21PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,White/Brown Tabby
A684708,Bentley,07/28/2014,5:21PM,Return to Owner,,Dog,Neutered Male,2 years,Pharaoh Hound Mix,Red
A684691,,07/28/2014,5:22PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,White/Brown Tabby
A684252,,07/28/2014,5:39PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A684049,Susie,07/28/2014,5:48PM,Return to Owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown
A682891,*Leo,07/28/2014,5:51PM,Euthanasia,Suffering,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black/Tan
A684497,,07/28/2014,6:08PM,Transfer,Partner,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A684774,,07/28/2014,6:09PM,Transfer,Partner,Dog,Intact Male,9 months,Border Terrier Mix,White/Brown
A684408,*Charlie,07/28/2014,6:30PM,Adoption,,Dog,Neutered Male,4 months,Catahoula Mix,Tan/White
A684496,Rosie,07/28/2014,6:33PM,Return to Owner,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Black/White
A679989,Paka,07/28/2014,6:39PM,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A679990,Chui,07/28/2014,6:41PM,Adoption,,Cat,Neutered Male,3 months,Domestic Longhair,Black
A684647,,07/28/2014,6:44PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
A684793,,07/28/2014,6:45PM,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A684794,,07/28/2014,6:45PM,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Cream Tabby
A684795,,07/28/2014,6:45PM,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A684789,,07/29/2014,8:22AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown
A684746,,07/29/2014,9:00AM,Transfer,SCRP,Cat,Intact Female,4 years,Domestic Shorthair Mix,Brown Tabby/White
A684724,,07/29/2014,9:00AM,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Medium Hair Mix,Black/White
A684796,,07/29/2014,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A633999,,07/29/2014,9:00AM,Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Orange Tabby
A684809,,07/29/2014,9:12AM,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat Mix,Brown
A684813,,07/29/2014,10:48AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Black/White
A684858,,07/29/2014,11:05AM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A684319,Kisses,07/29/2014,11:15AM,Return to Owner,,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White
A684817,,07/29/2014,11:19AM,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
A677151,Bitsy,07/29/2014,12:38PM,Adoption,Foster,Dog,Spayed Female,4 years,Chihuahua Shorthair,Tan/White
A678889,*Jojen,07/29/2014,12:55PM,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A684810,Koda,07/29/2014,12:55PM,Return to Owner,,Dog,Neutered Male,5 years,Labrador Retriever Mix,Cream
A669638,Rufus,07/29/2014,12:58PM,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
A681709,*Lemming,07/29/2014,1:19PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A680762,*Bello,07/29/2014,1:20PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A677994,*Isadora,07/29/2014,1:43PM,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie
A676205,,07/29/2014,1:49PM,Adoption,Foster,Dog,Spayed Female,3 months,Labrador Retriever Mix,Black
A681805,,07/29/2014,2:04PM,Adoption,Foster,Dog,Neutered Male,10 months,Jack Russell Terrier/Chihuahua Shorthair,Red/White
A682067,Poquito,07/29/2014,2:18PM,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A680375,*Hilda,07/29/2014,2:26PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A684702,*Ellie,07/29/2014,2:34PM,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
A684703,,07/29/2014,2:34PM,Transfer,Partner,Cat,Intact Female,4 days,Domestic Shorthair Mix,Blue Tabby
A684704,,07/29/2014,2:34PM,Transfer,Partner,Cat,Intact Female,4 days,Domestic Shorthair Mix,Brown Tabby
A684705,,07/29/2014,2:34PM,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby
A684706,,07/29/2014,2:34PM,Transfer,Partner,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby
A678867,*Bonnie,07/30/2014,4:20PM,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
A684323,Tiger Lilly,07/29/2014,2:59PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A617986,Chance,07/29/2014,3:10PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,White/Black
A683957,Text,07/29/2014,4:04PM,Return to Owner,,Dog,Neutered Male,1 year,American Bulldog Mix,Brown/White
A663248,Jasmine,07/29/2014,4:07PM,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever/Chinese Sharpei,White
A684554,Cupcake,07/29/2014,4:21PM,Adoption,,Dog,Spayed Female,4 months,Boxer Mix,Brown/White
A684626,Ranger,07/29/2014,4:38PM,Adoption,,Dog,Spayed Female,5 months,Australian Cattle Dog Mix,Blue Merle
A684528,Ruby,07/29/2014,4:50PM,Adoption,,Dog,Spayed Female,7 months,Chow Chow/Australian Cattle Dog,Tricolor
A635622,*Quinn,07/29/2014,4:52PM,Euthanasia,Suffering,Dog,Neutered Male,10 years,Rottweiler Mix,Black/Brown
A683937,Cesar,07/29/2014,4:55PM,Transfer,Partner,Dog,Intact Male,3 years,Pit Bull Mix,Blue/White
A684535,,07/29/2014,4:56PM,Adoption,,Dog,Neutered Male,3 months,Blue Lacy Mix,Blue/White
A684769,,07/29/2014,5:01PM,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair/Cardigan Welsh Corgi,Black/Tricolor
A684583,,07/29/2014,5:04PM,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever/Newfoundland,Black
A684835,,07/29/2014,5:06PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A684555,,07/29/2014,5:07PM,Adoption,,Dog,Spayed Female,3 months,Miniature Poodle Mix,Black/White
A684409,*Foxy,07/29/2014,5:13PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/White
A684045,Ronin,07/29/2014,5:16PM,Return to Owner,,Dog,Neutered Male,13 years,Alaskan Husky Mix,Red/Cream
A684574,Tobias,07/29/2014,5:21PM,Adoption,,Dog,Neutered Male,3 months,Miniature Pinscher Mix,Black/Tan
A684586,Champ,07/29/2014,5:29PM,Adoption,,Dog,Neutered Male,2 months,Great Pyrenees/Alaskan Husky,White/Tan
A684864,,07/29/2014,5:32PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown
A684437,*Macaroni,07/29/2014,5:42PM,Adoption,,Dog,Neutered Male,2 months,Miniature Schnauzer/Miniature Poodle,White/Buff
A684065,Chemmie,07/29/2014,5:56PM,Return to Owner,,Dog,Spayed Female,6 years,Rat Terrier,White/Red
A684696,Scrappy,07/29/2014,5:57PM,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair/Dachshund,Chocolate/White
A684623,Honey,07/29/2014,6:07PM,Adoption,,Dog,Spayed Female,5 months,Australian Cattle Dog Mix,Brown Merle
A683993,Cash,07/29/2014,6:09PM,Adoption,,Dog,Neutered Male,3 years,Yorkshire Terrier/Miniature Poodle,Gray
A684744,Smokey,07/29/2014,6:20PM,Return to Owner,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A677659,Swirly,07/29/2014,6:30PM,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico
A684529,Sansa,07/29/2014,6:51PM,Adoption,,Dog,Spayed Female,7 months,Chow Chow/Australian Cattle Dog,Tan/Gray
A684875,,07/29/2014,7:07PM,Euthanasia,Suffering,Dog,Intact Female,4 months,German Shepherd Mix,Black/Tan
A683548,*Deebs,07/29/2014,7:08PM,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black
A684867,,07/29/2014,7:10PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A684868,,07/29/2014,7:10PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A684860,,07/29/2014,7:10PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A684869,,07/29/2014,7:11PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A684870,,07/29/2014,7:11PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A682914,,07/30/2014,7:50AM,Died,In Foster,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White
A684853,,07/30/2014,9:00AM,Transfer,SCRP,Cat,Unknown,2 years,Domestic Longhair Mix,Black/White
A684839,,07/30/2014,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A684828,,07/30/2014,9:00AM,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Cream Tabby/White
A684829,,07/30/2014,9:00AM,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie
A684830,,07/30/2014,9:00AM,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Calico
A683485,*George,07/30/2014,9:37AM,Adoption,Foster,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Tan
A684894,,07/30/2014,10:04AM,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat Mix,Red
A683221,X,07/30/2014,10:44AM,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A683220,X,07/30/2014,10:45AM,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby
A607586,Chita,07/30/2014,11:02AM,Return to Owner,,Dog,Spayed Female,3 years,Rat Terrier Mix,White/Black
A678396,Puddin',07/30/2014,11:37AM,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Blue Tabby/White
A676920,Jello,07/30/2014,11:37AM,Adoption,Foster,Cat,Neutered Male,4 months,Domestic Longhair Mix,Black
A682059,*Butters,07/30/2014,11:59AM,Adoption,Foster,Cat,Neutered Male,2 months,Manx Mix,Orange Tabby
A684902,,07/30/2014,12:14PM,Transfer,Partner,Other,Unknown,4 months,Opossum Mix,Black
A678701,Jamocha,07/30/2014,12:15PM,Adoption,,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Black
A681099,*Shasta,07/30/2014,12:18PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A684871,Boomer,07/30/2014,12:28PM,Euthanasia,Aggressive,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
A684268,Groot,07/30/2014,12:42PM,Return to Owner,,Dog,Intact Male,2 years,Great Dane/Mastiff,Black/White
A683891,*Toby,07/30/2014,12:58PM,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,White/Brown
A684758,Sugar Bear,07/30/2014,1:02PM,Return to Owner,,Dog,Spayed Female,1 year,Chihuahua Longhair/Pomeranian,Brown/Black
A684907,Sammie,07/30/2014,1:08PM,Euthanasia,Suffering,Dog,Intact Male,12 years,Cocker Spaniel,Black
A675597,Gorda,07/30/2014,1:22PM,Euthanasia,Aggressive,Dog,Spayed Female,1 year,Chow Chow Mix,Red
A683334,*Pudding,07/30/2014,1:45PM,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
A683324,Shanudie,07/30/2014,1:46PM,Transfer,Partner,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Calico
A683216,Peggy,07/30/2014,1:46PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A683209,Tilly,07/30/2014,1:46PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue
A684435,,07/30/2014,1:46PM,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
A683108,Clyde,07/30/2014,1:55PM,Return to Owner,,Dog,Neutered Male,7 years,Pit Bull Mix,Brown/White
A683111,Bonnie,07/30/2014,1:55PM,Return to Owner,,Dog,Spayed Female,6 years,German Shepherd Mix,Brown/Black
A684589,Rascal,07/30/2014,2:48PM,Adoption,,Cat,Neutered Male,2 years,Snowshoe Mix,Seal Point/White
A684335,Captain,07/30/2014,4:15PM,Adoption,,Dog,Neutered Male,2 years,Siberian Husky Mix,Black/White
A684544,,07/30/2014,4:19PM,Transfer,Partner,Dog,Intact Male,6 months,Australian Cattle Dog Mix,White/Red
A684238,Nansen,07/30/2014,4:20PM,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby
A683809,Batman,07/30/2014,4:20PM,Transfer,Partner,Cat,Intact Male,2 years,Manx Mix,Black
A683763,*Evie,07/30/2014,4:31PM,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby
A684897,,07/30/2014,4:37PM,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Gray Tabby
A684934,,07/30/2014,4:38PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Raccoon Mix,Black/White
A684944,,07/30/2014,4:45PM,Euthanasia,Rabies Risk,Other,Intact Male,3 years,Bat Mix,Brown
A684933,Smokey,07/30/2014,4:52PM,Return to Owner,,Dog,Intact Female,4 years,Pit Bull Mix,Blue/White
A684766,Shorty,07/30/2014,5:00PM,Adoption,,Dog,Neutered Male,1 year,Dachshund/Australian Cattle Dog,White/Brown
A684620,,07/30/2014,5:00PM,Adoption,,Dog,Neutered Male,2 years,Dachshund/Jack Russell Terrier,Red/White
A684616,,07/30/2014,5:02PM,Adoption,,Dog,Spayed Female,2 months,German Shepherd/Catahoula,Sable
A684679,Puzzles,07/30/2014,5:04PM,Return to Owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan
A684913,Jack,07/30/2014,5:04PM,Euthanasia,Behavior,Dog,Neutered Male,1 year,American Bulldog Mix,Black/White
A684082,Hitler,07/30/2014,5:09PM,Return to Owner,,Dog,Neutered Male,2 years,German Shepherd Mix,Brown/Black
A635457,Brownie,07/30/2014,5:18PM,Return to Owner,,Dog,Spayed Female,2 years,Pointer/Boxer,Brown/White
A684613,,07/30/2014,5:20PM,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White
A684609,,07/30/2014,5:20PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Blue
A666498,Butters,07/30/2014,5:22PM,Adoption,,Cat,Neutered Male,5 years,Domestic Longhair Mix,Orange Tabby
A661581,Rocky,07/30/2014,5:23PM,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Tan
A684697,,07/30/2014,5:26PM,Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog,Blue Merle/Tan
A684694,,07/30/2014,5:27PM,Transfer,Partner,Dog,Intact Male,2 months,Australian Cattle Dog,Tan/White
A684881,Chico,07/30/2014,5:29PM,Transfer,Partner,Dog,Neutered Male,7 months,Bull Terrier,Brown Brindle
A684787,Kuma,07/30/2014,5:34PM,Return to Owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A684736,,07/30/2014,5:42PM,Transfer,Partner,Dog,Intact Female,4 months,Australian Shepherd Mix,Brown/White
A684738,,07/30/2014,5:43PM,Transfer,Partner,Dog,Intact Female,4 months,Australian Shepherd Mix,White/Brown
A684739,Trisha,07/30/2014,5:43PM,Transfer,Partner,Dog,Spayed Female,4 months,Australian Shepherd Mix,White/Brown
A684740,,07/30/2014,5:43PM,Transfer,Partner,Dog,Intact Female,4 months,Border Collie Mix,Black/White
A684741,,07/30/2014,5:43PM,Transfer,Partner,Dog,Intact Male,4 months,Australian Shepherd Mix,Black/Tan
A684584,,07/30/2014,5:44PM,Adoption,,Dog,Spayed Female,2 months,Flat Coat Retriever Mix,Black
A682572,,07/30/2014,5:51PM,Adoption,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Brown
A684662,,07/30/2014,5:53PM,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A631781,Butterscotch,07/30/2014,5:57PM,Adoption,,Cat,Spayed Female,9 years,British Shorthair,Orange Tabby/White
A683616,,07/30/2014,6:28PM,Adoption,,Dog,Spayed Female,1 month,Chihuahua Shorthair/Border Terrier,Brown/Black
A683617,,07/30/2014,6:31PM,Adoption,,Dog,Neutered Male,1 month,Chihuahua Shorthair/Border Terrier,Black/Tan
A683021,*Pumpkin,07/30/2014,6:50PM,Adoption,,Dog,Spayed Female,3 years,Staffordshire/English Bulldog,Brown Brindle
A684931,,07/31/2014,8:37AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A684935,,07/31/2014,8:38AM,Disposal,,Other,Unknown,1 year,Bat Mix,Brown
A684940,,07/31/2014,8:39AM,Disposal,,Other,Unknown,3 years,Bat Mix,Black
A684923,,07/31/2014,9:00AM,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
A684924,,07/31/2014,9:00AM,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/White
A684204,,07/31/2014,9:00AM,Transfer,SCRP,Cat,Unknown,5 months,Domestic Shorthair Mix,Brown Tabby
A684695,,07/31/2014,10:51AM,Transfer,Partner,Dog,Intact Female,5 years,Greyhound,Fawn
A627376,Major,07/31/2014,11:05AM,Return to Owner,,Dog,Neutered Male,5 years,Pit Bull Mix,Brown/White
A615508,Zeus,07/31/2014,11:09AM,Return to Owner,,Dog,Neutered Male,3 years,American Bulldog Mix,White/Brown Brindle
A666559,*Shelby,07/31/2014,12:08PM,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Black/White
A468181,Marley,07/31/2014,12:17PM,Return to Owner,,Dog,Neutered Male,8 years,Boxer/Pit Bull,Tan/White
A684976,,07/31/2014,12:21PM,Euthanasia,Suffering,Cat,Unknown,6 years,Domestic Shorthair Mix,Orange Tabby
A684363,Faith,07/31/2014,12:39PM,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie/Blue Cream
A684977,,07/31/2014,1:22PM,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
A684978,,07/31/2014,1:22PM,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
A678994,*Trixie,07/31/2014,1:51PM,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Tortie
A684251,*Grover,07/31/2014,2:00PM,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A684980,Gyula,07/31/2014,3:33PM,Euthanasia,Aggressive,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Blue Merle
A684176,*Izy,07/31/2014,3:49PM,Transfer,Partner,Dog,Spayed Female,4 months,Boxer/Pit Bull,Black/White
A668765,*Charlie,07/31/2014,4:16PM,Adoption,,Dog,Neutered Male,5 years,Pbgv Mix,White/Brown
A683780,*Phoebe,07/31/2014,5:06PM,Transfer,Partner,Dog,Intact Female,6 years,Labrador Retriever Mix,Yellow
A684693,Vicente,07/31/2014,5:19PM,Adoption,,Dog,Neutered Male,4 months,Manchester Terrier Mix,Black/Tan
A684388,Marley,07/31/2014,5:37PM,Adoption,,Dog,Spayed Female,4 months,Labrador Retriever Mix,Black
A684698,,07/31/2014,5:38PM,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A684688,Maggie,07/31/2014,5:39PM,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair/Cairn Terrier,Cream
A683131,Oz,07/31/2014,5:54PM,Transfer,Partner,Dog,Neutered Male,4 years,Pit Bull Mix,Black
A684707,Lucky,07/31/2014,5:56PM,Adoption,,Dog,Neutered Male,3 months,Smooth Fox Terrier Mix,White/Tan
A684798,Lexi,07/31/2014,6:00PM,Return to Owner,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tricolor
A684863,Yoshi,07/31/2014,6:36PM,Return to Owner,,Dog,Neutered Male,5 years,Yorkshire Terrier Mix,Tan/Silver
A684271,Bella,07/31/2014,6:59PM,Return to Owner,,Dog,Spayed Female,9 months,Border Collie/Labrador Retriever,Black/White
A684283,Rocky,07/31/2014,6:59PM,Return to Owner,,Dog,Neutered Male,2 years,Border Collie Mix,Black/White
A684284,Spot,07/31/2014,6:59PM,Return to Owner,,Dog,Neutered Male,6 years,Australian Cattle Dog Mix,Black/White
A684361,Pinky,07/31/2014,7:13PM,Adoption,,Cat,Intact Male,2 months,Siamese Mix,Flame Point
A684747,Lyle,08/01/2014,7:13AM,Transfer,Partner,Dog,Intact Male,2 months,Pit Bull Mix,Fawn/White
A431615,Catera,08/01/2014,7:51AM,Adoption,Foster,Dog,Spayed Female,8 years,Pit Bull/Chinese Sharpei,Chocolate
A679308,*Juliet,08/01/2014,8:09AM,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico
A683547,Dimples,08/01/2014,8:27AM,Died,In Foster,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby/White
A684973,,08/01/2014,9:00AM,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
A685003,,08/01/2014,9:00AM,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A680730,*Biscuit,08/01/2014,10:10AM,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
A685009,,08/01/2014,10:21AM,Disposal,,Other,Unknown,4 weeks,Bat Mix,Brown/Black
A673493,,08/01/2014,10:28AM,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Tortie/White
A684780,Dakota,08/01/2014,11:12AM,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico
A684767,,08/01/2014,11:13AM,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Cardigan Welsh Corgi,White/Brown
A678870,,08/01/2014,11:18AM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A678871,,08/01/2014,11:18AM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A682480,Pebble,08/01/2014,11:28AM,Return to Owner,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A684782,Zarina,08/01/2014,11:31AM,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico
A684783,Snow Ball,08/01/2014,11:31AM,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Seal Point/White
A684331,Edge,08/01/2014,11:46AM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown
A674280,Moon,08/01/2014,12:17PM,Transfer,Partner,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,White/Blue
A683493,*Daphne,08/01/2014,12:33PM,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Brown
A684379,Kreydos,08/01/2014,1:21PM,Return to Owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Tricolor
A685029,,08/01/2014,1:44PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A682215,*Pancake,08/01/2014,1:54PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A682216,*Waffles,08/01/2014,1:54PM,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A677563,Rosie,08/01/2014,1:57PM,Adoption,,Dog,Spayed Female,2 years,Chinese Sharpei/Boxer,White/Black
A684356,*Chance,08/01/2014,2:13PM,Transfer,Partner,Dog,Intact Male,8 years,German Shepherd Mix,Red/Black
A678665,,08/01/2014,2:22PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White
A685034,,08/01/2014,2:29PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A683483,*Joe,08/01/2014,2:35PM,Adoption,,Dog,Neutered Male,6 years,German Shepherd Mix,Black/Brown
A685032,,08/01/2014,3:02PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,White/Black
A685033,,08/01/2014,3:02PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A685041,,08/01/2014,3:05PM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
